 SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=                5000 , clock=1 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=7 , max_request=0 , requests=00 
 time=               10000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=1 , max_request=1 , requests=02 
 time=               15000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=1 , requests=00 
 time=               20000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=1 , requests=00 
 time=               25000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=1 , requests=00 
 time=               30000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=1 , requests=00 
 time=               35000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=1 , requests=00 
 time=               40000 , clock=0 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=4 , requests=10 
 time=               45000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=4 , requests=10 
 time=               50000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=4 , requests=18 
 time=               55000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=4 , requests=10 
 time=               60000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=4 , requests=10 
 time=               65000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=4 , requests=10 
 time=               70000 , clock=0 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=90 
 time=               75000 , clock=1 , reset=0 , req_floor=7 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=80 
